document,text,label,text_len_words,label_id
"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT",Power2Ship may use for purposes of this Agreement such trademarks and trade names as appear on the Products and on promotional materials therefore when received by Power2Ship from WLI.,License Grant,29,18
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,(c) Vyera breaches its obligations or covenants under Section 2.6 (Competitive Products);,Non-Compete,12,24
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,"Notwithstanding the MDDO at each Point of Delivery, Shipper shall not nominate a total quantity of natural gas at all Points of Delivery that exceeds the MDQ set forth in this Agreement.",Volume Restriction,32,39
VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT,The Joint Venture Company shall take out the required insurance from an insurance company or organization permitted by Chinese laws and regulations to provide such insurance.,Insurance,26,14
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement","You further covenant and agree that, for a continuous period of two (2) years after (1) the expiration of this Agreement, (2) the non-renewal of this Agreement, (3) the termination of this Agreement, and/or (4) a transfer as contemplated in Section 16 above: 19.5.1 you will not directly or indirectly, for yourself, or through, on behalf of, or in conjunction with any person, firm, partnership, corporation, or other entity, sell, assign, lease, and/or transfer the Approved Location to any person, firm, partnership, corporation, or other entity that you know, or have reason to know, intends to operate a Competitive Business at the Approved Location; and 19.5.2 you will not solicit, divert, or attempt to solicit or divert any actual or potential business or customer of the Franchised Business to any Competitive Business.",Non-Compete,132,24
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,CHARTER AFFILIATE AFFILIATION AGREEMENT,Document Name,4,9
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,"Airspan warrants that during the term of this Agreement, the prices at which Airspan sells to Distributor products supplied under this Agreement shall be no less favorable to the Distributor than those prices at which Airspan sells, at substantially the same time in the United States, similar products and pursuant to similar terms and conditions as those by which Airspan sells Products to the Distributor under this Agreement.",Most Favored Nation,68,21
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT,"Subject to the terms and conditions hereof, Sponsor hereby represents and warrants that it has the power and authority to grant, and does hereby grant to drkoop.com a non-exclusive, non-transferable, royalty-free, worldwide license to reproduce and display all logos, trademarks, trade names and similar identifying material relating to Sponsor (the ""Sponsor Marks"") solely in connection with the promotion, marketing and distribution of the parties and the Sites in accordance with the terms hereof, provided, however, that drkoop.com shall, other than as specifically provided for in this Agreement, not make any specific use of any Sponsor Mark without first submitting a sample of such use to Sponsor and obtaining its prior consent, which consent shall not be unreasonably withheld.",Non-Transferable License,118,26
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","The foregoing licenses include the right to reproduce, prepare derivative works, distribute, perform and otherwise exploit such Shared Library Materials and to use the Shared Library Materials to design, develop, manufacture, have manufactured, sell and support products and services, subject in each case to applicable export control Laws and the provisions of Section 4.5.",License Grant,54,18
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,"December 17, 2019",Effective Date,3,10
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","licensed by SpinCo or any other member of the SpinCo Group if and to the extent the licensing of same to RemainCo would constitute a breach of an agreement with any Third Party executed prior to the Effective Date or result in any expense to SpinCo or any member of the SpinCo Group for payments to such Third Party or (ii) any intellectual property not owned by one or more members of the SpinCo Group, or as to which no member of the SpinCo Group has the right to grant sublicenses, as of the Effective Date.",Exclusivity,96,11
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT,"The SENDER shall not assign totally or partially the Contract hereof, without the previous written consent by ECOPETROL.",Anti-Assignment,18,3
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,"This Agreement will be interpreted, construed and enforced in accordance with the Laws of the State of Washington, without reference to its choice of Laws rules.",Governing Law,26,13
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,"Pursuant to the Subscription Agreement, CHT shall obtain from each End User the right to and hereby grants, effective upon the execution and delivery of such End User's Subscription Agreement, to Ehave: (i) a royalty-free, non-exclusive, non-transferable, limited right and licence during the term of such Subscription Agreement to use, copy, store and display the End User Data solely for the purpose of enabling Ehave to operate the Ehave Companion Solution for such End User and as may be necessary for the purpose of enabling Ehave to provide support services in accordance with this Agreement; and (ii) a royalty-free, non-exclusive, limited, perpetual right and license to use, copy, store and display End User Data on an aggregated and anonymous basis and so as not to permit the identification of any End User or individual for the sole purpose of improving or developing enhancements to the Ehave Companion Solution , provided that Ehave shall not have any right to use, commercialize or exploit such End User Data in any other manner or for any other purpose.",Irrevocable Or Perpetual License,175,16
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement,"Unless sooner terminated in accordance with this Article, this Agreement will continue in full force beginning on the Effective Date and ending two (2) years thereafter (""Term"").",Expiration Date,27,12
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement,"The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]; provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.",Effective Date,70,10
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Company will carry a reasonable amount of product liability insurance through a reasonably acceptable products liability insurance company and will name the Distributor as an additional insured under that policy. Company will make reasonable efforts to procure a policy, which is non-cancelable, except upon thirty (30) days, advance notice to the Distributor.",Insurance,52,14
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT","incorporate the mark/name HERTZ) as set forth on Schedule G, for the Interim Period, as more fully set forth in the Trademark, Trade Name, Domain and Related Rights License Agreement.",License Grant,30,18
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT,"The term of this Agreement shall begin on the date hereof (the ""Effective Date"") and shall continue for a period of 12 months thereafter (the ""Period"") in full force and effect until it is terminated in accordance with this Section 3.",Expiration Date,41,12
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","Effective after the Immunotherapy Exclusivity Period, Roche hereby grants to FMI a non-exclusive, royalty-free, worldwide, perpetual, and sublicensable to Affiliates, license to any intellectual property arising from the Immunotherapy Testing Platform Development Program Controlled by Roche (excluding Roche Immunotherapy Sample Results) to the extent necessary",Affiliate License-Licensee,45,0
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement,"10.4.11 In consideration of the fact that Party B may have access to the relevant trade secrets of Didi during the cooperation, Party B or Party B's any affiliate cooperates with any entity competitive with Didi (including but not limited to Meituan, CAR, Yongche, izu, Caocao, Dida) in any form without prior written notice to and confirmation by Didi; 10.4.12 Party B introduces the entities competitive with Didi (including but not limited to Meituan, CAR, Yongche, izu, Caocao, Dida) to Driver Users, and induces Driver Users to conduct activities directly competing or conflicting with Didi;",Non-Compete,95,24
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,"Notwithstanding the foregoing, nothing herein shall restrict or preclude the Parties' right to make generalized searches for employees by way of a general solicitation for employment placed in a trade journal, newspaper or website.",No-Solicit Of Employees,34,23
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement,"Furthermore, Excite@Home may not sell, disclose, transfer, rent, or license Shopping Category Data or Superset Data to Data Restricted Named Companies as specified in EXHIBIT I.",Non-Compete,26,24
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,"To the extent that any writings or works of authorship may not, by operation of law, be works made for hire, this Agreement shall constitute an irrevocable assignment by Provider to the Recipient of the ownership of and all rights of copyright in, such items, and the Recipient shall have the right to obtain and hold in its own name, rights of copyright, copyright registrations, and similar protections which may be available in the works.",Ip Ownership Assignment,75,15
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT",SERVICERS may terminate this Agreement prior to its expiration for cause upon prior written notice to ISO as follows:,Anti-Assignment,19,3
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement,Programmer shall not separately sell advertising time on the HD2 Channel but may market the WLIB Programs as being rebroadcast on the HD2 Channel.,License Grant,24,18
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New,"(e) All valid Redistributor Agreements and Sublicenses by and between Licensee and any Redistributors and Customers will remain and continue in full force and effect for the remainder of their respective terms, and at Licensor's option Licensee shall assign to Licensor its rights in such agreements with respect to the Licensed Products or Documentation; provided that if Licensor fails to provide reasonable support to any Redistributor or Customer, Licensee may support such Redistributor or Customer without payment of fees to Licensor.",Post-Termination Services,81,29
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,No later than 30 days after the end of each contract year the Base Fee must be increased or decreased in accordance with the increase or decrease in the CPI and such increases or decreases will be calculated by using the following formula:,Price Restrictions,43,30
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,"Franchisee agrees and grants to Pretzel Time and its Affiliates a perpetual and worldwide right to use and authorize other Pretzel Time Units or other food service businesses operated by Pretzel Time or its Affiliates, franchisees and designees to use such ideas, recipes, formulas, concepts, methods, and techniques relating to the development and/or operation of a dessert or snack food business.",Irrevocable Or Perpetual License,61,16
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,"14t h day of April, 2015",Agreement Date,6,2
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,receipt of such notice to receive Technical Support at Manufacturer's sole cost to enable Customer to orderly transfer production of affected Product or Products to a Customer facility or an alternative facility as designated by Customer; provided that Manufacturer shall notify Customer of any proposed or planned Facility Disposition by Manufacturer or any of its Affiliates as soon as reasonably practicable and in any event no later than the date that is three (3) months prior to the effective date of such Facility Disposition.,Post-Termination Services,84,29
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,Beijing Sun Seven Stars Culture Development Limited,Parties,7,28
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT,"Neither party may assign this Agreement, in whole or in part, without the other party's written consent (which will not be unreasonably withheld), except that no such consent will be required in connection with (i) a merger, reorganization or sale of all, or substantially all, of such party's assets or (ii) the assignment and/or delegation of such party's rights and responsibilities hereunder to a wholly-owned subsidiary or joint venture in which that party holds an interest.",Anti-Assignment,76,3
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT,Onse Telecom Corporation,Parties,3,28
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","The term ""Effective Date"" shall mean the latest of (a) the date of the last signature of this Agreement, or (b) if a HSR filing is made, the second Business Day immediately following the earlier of: (i) the date upon which the waiting period under HSR expires or terminates early or (ii) the date upon which all requests to the Parties by the Federal Trade Commission or the Justice Department, as the case may be, with regard to the transaction contemplated by this Agreement",Effective Date,84,10
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement,"The Payment(s) to Distributor or its Assignee, as set forth herein, shall be further set forth in each Class A Series Agreement, along with the respective ownership interest for both the Company and the Distributor (or its Assignee) for each respective Kiosk Location which shall have its own separate Series, as defined by the Texas Business Organizations Code for Series Limited Liability Companies, and as set forth in the Company's Operating Agreement.",Revenue/Profit Sharing,72,32
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT",GLAXO GROUP LIMITED,Parties,3,28
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT,"During the term of any Study Order under this Agreement, Adaptimmune Limited shall maintain in full force and effect insurance for its and Adaptimmune's liabilities arising from the Study with limits of not less than $*** per loss and $*** annual aggregate. Adaptimmune shall provide MD Anderson with evidence of such insurance upon request.",Insurance,54,14
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,"January 22, 2007",Effective Date,3,10
MSCIINC_02_28_2008-EX-10.10-,"MSCI agrees that neither MS nor its affiliates or subsidiaries (other than MSCI) (collectively, the ""MS Provider Group"") and the respective directors, officers, agents, and employees of the MS Provider Group shall have any liability, whether direct or indirect, in contract or tort or otherwise, to MSCI for or in connection with this Agreement or the transactions contemplated hereby or any actions or inactions by or on behalf of the MS Provider Group in connection with this Agreement and such transactions.",Cap On Liability,81,5
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,"The Village Media Company shall not, directly or indirectly, assign, sublicense or otherwise transfer any of its rights or obligations hereunder without the prior written consent of PFHOF. T",Non-Transferable License,29,26
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,"Subject to the terms and conditions of this Agreement, XSPA hereby grants to Calm, solely during the Term and in the Territory, a revocable (as set forth in ​Section ​​12.04), royalty-free, assignable (solely as set forth in Section ​16.05), non-sublicensable (except as set forth in Section ​9.03), non-exclusive license to use the marks set forth on Exhibit E (""XSPA's Marks"", and together with Calm's Marks, the ""Marks""), solely to the extent necessary for Calm to exercise its rights or perform its obligations set forth in this Agreement.",License Grant,87,18
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,d/b/a ALFA AESAR,Parties,3,28
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT,"RESTATED NET INVESTMENT INCOME MAINTENANCE AGREEMENT,",Document Name,6,9
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.",RemainCo shall have the right to use the SpinCo House Marks in connection with the operation of the RemainCo Business for a limited period of 270 days following the Distribution Date.,License Grant,31,18
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"Subject to the terms and conditions of this Agreement, Changepoint hereby grants to Corio a fee-bearing, irrevocable, nonexclusive, nontransferable (except in accordance with Section 14.1 of this Agreement) license in the Territory to (i) reproduce the Software in machine executable object code format only for installation on the Corio Servers; (ii) install multiple copies of the Software on Corio's Servers which will be made remotely accessible to Corio's Customers for their internal business purposes, (iii) permit limited access to and use of the Software by Customers through Corio Servers solely for such Customer's internal business purposes; (iv) sublicense an unlimited number of Customers to access and use the Software only through the installation on Corio Servers solely for such Customer's internal business purposes; and (v) use Changepoint's tools and utilities, if any, subject to any restrictions placed on the Changepoint by third party software providers and payment of any applicable fees required by such third parties, to configure, integrate and manage the Software.",Unlimited/All-You-Can-Eat-License,163,38
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT,Philippine Long Distance Telephone Company,Parties,5,28
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"This Agreement shall inure to the benefit of and be binding upon the Parties and their respective successors and assigns, including, but not limited to, any chapter 11 or chapter 7 trustee; provided, however, that this Agreement may not be assigned by any of the Parties without the prior written consent of the other, provided further that notwithstanding the foregoing, GA and Tiger may each collaterally assign this Agreement and their rights thereunder to their respective lenders.",Anti-Assignment,77,3
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT,"Customer may terminate this Agreement during the Term upon at least one (1) years' written notice to M&I, provided that Customer pays M&I an early termination fee (""Termination for Convenience Fee"") in an amount equal to REDACTED of the Estimated Remaining Value.",Liquidated Damages,42,19
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT,"IF A CLAIM OR CAUSE OF ACTION IS ATTRIBUTABLE TO A PRODUCT OR ANY SERVICES PROVIDED UNDER THE SUBSCRIPTION LICENSE AGREEMENT, THE REMEDIES SET FORTH IN THE SUBSCRIPTION LICENSE AGREEMENT, TO THE EXCLUSION OF THE REMEDIES SET FORTH IN THIS AGREEMENT, SHALL CONSTITUTE THE SOLE AND EXCLUSIVE REMEDIES AVAILABLE TO A PARTY FOR SUCH CLAIM OR CAUSE OF ACTION.",Cap On Liability,59,5
LOOKSMARTLTD_07_20_2012-EX-99.(D)(I)-SPONSORSHIP AGREEMENT,"July 16, 2012",Effective Date,3,10
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,"Thereafter, this Agreement shall be effective month to month, until terminated by Transporter or Shipper upon the following written notice to the other specifying a termination date: sixty (60) days for interruptible transportation under Rate Schedule ITS and 180 days for firm transportation under Rate Schedule FTS.",Notice Period To Terminate Renewal,47,27
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,"Employers' Liability Insurance. Occurrence based coverage with a limit of at least $10,000,000 per occurrence or any greater limits set by Applicable Law workplace and work related injuries and illnesses to the employees of a Party. Requires waiver of alternate employer endorsement.",Insurance,42,14
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement,"Subject to the terms contained herein, PAPA JOHN'S and ABG agree and acknowledge that during the Term of this Agreement and for one (1) year thereafter, ABG shall be prohibited from granting any rights for CELEBRITY identical or similar to the rights granted to PAPA JOHN'S hereunder to any entity other than PAPA JOHN'S for the purpose of directly promoting, advertising, making an appearance on behalf of, or endorsing Competitive Products; provided, however, that in the event this Agreement is terminated pursuant to Section 7.B. of this Agreement, the prohibition referenced above shall be for a period of six (6) months, except that the prohibition shall referenced above shall not apply (or shall immediately cease to apply, as applicable) in the event of any one or more of the following: (i) the Agreement is terminated due to PAPA JOHN'S failure to pay to ABG any monies under this Agreement, as set forth herein, (ii) the Agreement is terminated due to PAPA JOHN'S failure to grant, issue, or cause to vest any of the RSUs (as hereinafter defined) under this Agreement, as set forth herein, (iii) PAPA JOHN'S failure to pay to ABG any monies under Section 7.D.a. or Section 7.D.b. of this Agreement, as set forth herein, or (iv) PAPA JOHN'S failure to grant, issue, or cause to vest any of the RSUs under Section 7.E.a. or Section 7.E.b. of this Agreement, as set forth herein.",Competitive Restriction Exception,236,7
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,"The warranty period for any item of Equipment and related Software shall be twelve (12) months from the date of delivery of such Equipment and related Software to Distributor as set forth in Paragraph 8.1 (hereinafter, this period of time shall be referred to as the ""Initial Warranty Period."")",Warranty Duration,49,40
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,"The Company and Online BVI each assign to Skype, with full title guarantee, all copyrights, patents, trade marks, service marks, rights of publicity, authors' rights, contract and licensing rights, goodwill and all other intellectual property rights in and to the foregoing translations as may exist now and/or hereafter come into existence and arising under the laws of any jurisdiction for the entire term of such rights and all renewals, revivals and extensions thereof.",Ip Ownership Assignment,73,15
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,"In consideration of the exclusivity rights granted to LEA, commencing with the seventh (7t h) month of the Term and continuing each year of the Term thereafter, the minimum Royalties payable to T&B each month shall be the greater of the (i) applicable monthly Base Royalty and Marketing Royalty or (ii) $200,000.",Exclusivity,52,11
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"This Agreement (and any question about its subsistence, effect or termination) is to be interpreted in accordance with the laws of India, save for that body of law which governs the conflict of laws.",Governing Law,34,13
SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT,PcoMed's conversion right is PcoMed's sole and exclusive remedy for Integra's failure to satisfy the Minimum Payment for any Minimum Payment Period.,Minimum Commitment,22,20
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement,"Company agrees that it will not file, during the Contract Period or afterward, any application for trademark registration or otherwise obtain or attempt to obtain ownership of any trademark or trade name within the Contract Territory or in any other country of the world which consists of the NFLA Identification or any mark, design or logo intended to obtain any rights to the name of the NFLA or to identify products as being endorsed b the NFLA.",Covenant Not To Sue,77,8
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,JHU shall have the right to audit any and all Company records related to this Agreement.,Audit Rights,16,4
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement,The University of Iowa,Parties,4,28
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,"Upon termination or expiration of this Agreement in whole or in part or any Facility Addendum, if requested by Customer within ninety (90) days immediately following the effective date of such expiration or termination of this Agreement and pursuant to Customer's reasonable request and instructions, Manufacturer shall use commercially reasonable efforts to, as applicable, make assignments or partial assignments of such material contracts, licenses, permits, and other material documents, as applicable, in each case subject to any restrictions on assignment, or as may otherwise be set forth in any Contract relating thereto.",Post-Termination Services,92,29
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","The term for Database Insights under Section 3.1.8 shall commence on the Effective Date and continue for five (5) years thereafter (the ""Database Insights Term"").",Expiration Date,25,12
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,"ENERGOUS will at its expense, at DIALOG's written request during the Term and any Wind Down Period, enter into a three- party escrow deposit arrangement, in accordance with this Section 16, with a recognized escrow agent (the ""Escrow Agent"") of mutual agreement.",Source Code Escrow,42,34
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement,"all research and development assets and operations of the Acquired Party Family, in each case relating to SHP2 Inhibitors and Products, remain with the Acquired Party Family and are not licensed or otherwise transferred to the Acquiror Party Family for any purpose; (C) the scientific and Development activities with respect to SHP2 Inhibitors and Products of the Acquired Party Family and Competing Products of the Acquiror Family (if any) are maintained separate and distinct, and (D) there is no exchange of Know-How relating to SHP2 Inhibitors and Products between the Acquired Party Family and the Acquiror Family. Any attempted assignment not in accordance with this Section 15.2 shall be null and void and of no legal effect.",Anti-Assignment,117,3
"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT","Certegy hereby assigns, and shall cause each member of the Certegy Group to assign, to Equifax, or the respective Designated Equifax Member, all right, title and interest it may hold in and to such modifications, improvements, Equifax Enhancements and Derivative Works.",Affiliate License-Licensor,41,1
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT,"Subject to the terms and conditions of this Agreement, SpinCo hereby grants to each individual member of the Parent Group, on behalf of itself and the other members of the SpinCo Group, and shall cause the other members of the SpinCo Group to grant to each individual member of the Parent Group, a non-exclusive, worldwide, perpetual, irrevocable, fully paid-up, royalty-free right and license, for use in the Parent Field, to (i) use, reproduce, distribute, display, perform, make Improvements and exploit the Licensed SpinCo IP, and (ii) make, have made, use, sell, offer to sell and import any goods and services incorporating, embodying or utilizing the Licensed SpinCo IP.",Affiliate License-Licensee,108,0
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT,"Solely to the extent necessary to enable Contractor to provide the Services in accordance with the terms herein, the Company hereby grants Contractor a royalty-free, non-exclusive sublicense, without the right to grant further sublicenses, under any and all applicable trademarks and other Intellectual Property owned or controlled by or licensed to the Company or any of its Affiliates to provide, during the Term of this Agreement, the Services in respect of the Products in the Territory.",License Grant,76,18
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement,"Each Party, at its own expense, shall maintain product liability and other appropriate insurance (or self- insure) in an amount consistent with industry standards during the Term.",Insurance,27,14
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","""Term"" means the earlier of: (a) the end of the two year period from the Effective Date to 31 July 2013; or (b) the last day of the calendar month within which the Maximum Distribution Commitment is reached.",Expiration Date,38,12
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement,"Developer agrees that it will not at any time (i) do or cause to be done any act or thing contesting or in any way impairing any part of such right, title and interest or (ii) represent, expressly or by implication that it has any right, title or interest in or to any of the foregoing other than as expressly set forth herein.",Covenant Not To Sue,63,8
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT,"In the event of a Vert-Non-Renewal Election, in addition to any rights or remedies that may be available to Converge under the Subscription License Agreement, the provisions of Section 8 above shall cease to apply with respect to Converge's solicitation or encouragement of any of the VNE Service Personnel to terminate their employment or independent contracting relationship with VNE and become an employee or independent contractor of Converge or its Affiliate.",No-Solicit Of Employees,71,23
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,"For each User that accesses the co-branded ------------------------ site and becomes a paying customer on the co-branded site, SpinRecords.com agrees to pay a fee of five (5%) percent of the gross sale.",Revenue/Profit Sharing,32,32
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"Neither party shall be liable to the other for lost profits or indirect, special consequential or punitive damages of any kind arising in connection with the manufacture, sale and distribution of the products, even if such party has been advised of the possibility of such damages.",Cap On Liability,46,5
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement,"This Agreement shall be governed by, and construed and interpreted in accordance with, the laws of the State of Delaware, without reference to its conflicts of laws principles.",Governing Law,28,13
"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT","Without limiting the foregoing, Equifax hereby grants, and will cause the other members of the Equifax Group to grant, to Certegy a fully paid, non- exclusive, perpetual, worldwide, transferable license to use, modify, improve, create Derivative Works from, and sublicense, the Utility Software Programs (in both object and source code format) identified on Exhibit L as being owned by Equifax or a member of the Equifax Group for any and all fields of use and to any and all Persons.",License Grant,80,18
ON4COMMUNICATIONSINC_07_02_2009-EX-10.1-PROMOTION AGREEMENT,ConAgra Foods Canada Inc.,Parties,4,28
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT,"This contract shall be for a term of one year commencing on the date first above written; thereafter, it shall automatically continue until terminated by either party upon not less than thirty (30) days prior written notice to the other party.",Notice Period To Terminate Renewal,41,27
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,"Collaboration Patent to expire or intends to otherwise abandon any such Xencor Product Specific Patent, Aimmune Patent Covering an Antibody or Product or Joint Collaboration Patent, or (ii) decides not to prepare or file patent applications Covering Aimmune Inventions or Joint Inventions, Aimmune shall notify Xencor of such intention or decision at least [***] ([***]) days (or as soon as possible if less than [***] ([***]) days) prior to any filing or payment due date, or any other date that requires action, in connection with such Xencor Product Specific Patent, Aimmune Patent Covering an Antibody or Product or Joint Collaboration Patent, and Xencor shall thereupon have the right, but not the obligation, to assume responsibility for the preparation, filing, prosecution or maintenance thereof [***], in the name of Xencor or Aimmune, as applicable.",Rofr/Rofo/Rofn,133,33
